Scorer,N,N_with_old,intra_exact,intra_within1,orig_vs_median,rescore_vs_median,agreement_change,mean_abs_change
1,100,100,53,88,70,52,-18,0.64
2,100,99,62.62626262626263,98.98989898989899,73.73737373737373,63,-10.73737373737373,0.3838383838383838
4,100,99,59.59595959595959,92.92929292929293,66.66666666666666,50,-16.666666666666657,0.47474747474747475
6,100,99,56.56565656565656,93.93939393939394,73.73737373737373,56.00000000000001,-17.737373737373723,0.5050505050505051
9,100,100,30,63,75,25,-50,1.1
