pairwise_dist,pairwise_nearmiss
0.518785495849716,0.905307994757536
0.5147444298820446,0.9033420707732636
0.5150720838794234,0.904871122761031
0.5198776758409785,0.9038881607688948
0.5199868938401048,0.9074923547400612
0.52129750982962,0.9057448667540412
0.519222367846221,0.9034512887723896
0.5158366098733072,0.9038881607688948
0.5139799038881607,0.901048492791612
0.5162734818698121,0.9031236347750108
0.5141983398864133,0.9003931847968545
0.5191131498470948,0.9020314547837484
0.5168195718654435,0.9032328527741372
0.5167103538663171,0.9045434687636522
0.5180209698558322,0.9046526867627784
0.5171472258628221,0.902686762778506
0.5113586719091305,0.9025775447793796
0.5196592398427261,0.9034512887723896
0.5220620358235036,0.9032328527741372
0.5143075578855395,0.9022498907820008
0.5084097859327217,0.8985364788117081
0.5178025338575797,0.90519877675841
0.5176933158584535,0.9038881607688948
0.5199868938401049,0.9046526867627784
0.5161642638706858,0.905307994757536
0.5191131498470948,0.9064001747487984
0.5147444298820446,0.9038881607688948
0.5148536478811707,0.9024683267802532
0.5158366098733072,0.8998470948012232
0.5126692878986456,0.9038881607688948
0.5179117518567059,0.9012669287898644
0.5123416339012669,0.9041065967671472
0.5208606378331149,0.9085845347313236
0.5203145478374835,0.9043250327653998
0.5188947138488423,0.9060725207514198
0.5146352118829183,0.9020314547837484
0.5147444298820445,0.9007208387942331
0.5186762778505898,0.9013761467889908
0.5168195718654435,0.9051987767584098
0.5131061598951507,0.8997378768020969
0.5185670598514635,0.9049803407601572
0.5169287898645696,0.9023591087811272
0.5172564438619485,0.90694626474443
0.5159458278724334,0.9029051987767585
0.5161642638706858,0.90519877675841
0.5183486238532109,0.904434250764526
0.5238095238095237,0.9060725207514198
0.5219528178243774,0.9042158147662734
0.5167103538663171,0.9046526867627784
0.5229357798165137,0.9068370467453036
0.5151813018785495,0.9038881607688948
0.5196592398427261,0.9051987767584098
0.5224989078200087,0.9048711227610312
0.5206422018348624,0.9061817387505462
0.5214067278287461,0.9041065967671472
0.5158366098733072,0.9024683267802536
0.5203145478374835,0.9066186107470512
0.5216251638269986,0.9054172127566622
0.5083005679335955,0.9005024027959807
0.5205329838357361,0.9062909567496724
0.514525993883792,0.906181738750546
0.5181301878549585,0.9072739187418084
0.5192223678462211,0.9041065967671472
0.5185670598514635,0.9067278287461774
0.519659239842726,0.903560506771516
0.5202053298383573,0.905744866754041
0.5172564438619484,0.9049803407601572
0.5184578418523372,0.9023591087811272
0.5168195718654434,0.902686762778506
0.5171472258628221,0.9045434687636524
0.5199868938401049,0.9084753167321974
