agreement_dist,agreement_nearmiss
0.7378598110305428,0.9684684684684683
0.7346804304853942,0.968262683944652
0.7350483729111698,0.9685576077396658
0.7375878734622144,0.967816344463972
0.7384040448450209,0.9690041767421412
0.7392355008787346,0.968255711775044
0.7377499450670182,0.967699406723797
0.7354555433589463,0.9684961580680572
0.7343732835329012,0.9667142700208724
0.7359402460456942,0.967596660808436
0.7345929913215423,0.9661650005492696
0.7373914954400616,0.9671464674211624
0.7362118215776753,0.9675895407602724
0.7357723577235772,0.968798066359042
0.7370850736425588,0.96834469114091
0.7365703614193123,0.967263539492475
0.7330326696733033,0.967220327796722
0.7379408856169651,0.9679156136688276
0.7386525991867238,0.967798659193318
0.7348934300153812,0.9678092726873214
0.7303889255108768,0.966600747088552
0.735840756625976,0.9689871329594192
0.7369519832985386,0.9680254917042084
0.7375824175824176,0.9684615384615384
0.7359402460456942,0.969244288224956
0.7378256568099374,0.9687809167857536
0.7353264453726094,0.9680149483402946
0.7346018477782666,0.9672239331280248
0.7357433249093506,0.965718052961213
0.7344247884847819,0.967366223491924
0.7370329670329671,0.9663736263736264
0.7335164835164835,0.9685714285714284
0.7388051490813071,0.9696336230608428
0.7374958777618995,0.9685610640870616
0.738633867779486,0.9677135954315836
0.734731985940246,0.967596660808436
0.7341688654353562,0.9671284080914688
0.7367611513952977,0.966820479015601
0.7365703614193123,0.9688014940129628
0.7345550312740041,0.9663118621749148
0.7374725274725275,0.9684615384615384
0.7359569088710564,0.9673518742442564
0.7362866879190942,0.9702099593272508
0.7352811950790861,0.968255711775044
0.7352908830968877,0.9692070823710548
0.737119630890915,0.9683620784356806
0.7406308385536872,0.968238267941532
0.7389249203033967,0.96779157964164
0.7358532029447313,0.9690143940226348
0.7395650263620387,0.969463971880492
0.7355816763704274,0.9678128089640776
0.7377391686826479,0.9684407301517484
0.7396703296703296,0.9682417582417584
0.7386476085761408,0.9685541506322156
0.7392833589799956,0.96713563420532
0.7358241758241758,0.9673626373626374
0.7385477315170823,0.969240909590245
0.7389584706657878,0.9691276642496156
0.7312465678198792,0.9666117517847336
0.7384852149060129,0.9688908431350994
0.7350258270139576,0.9694471919991208
0.7374258730507358,0.9696903140786296
0.7377553261585768,0.9683725016472656
0.7378075571177505,0.96957381370826
0.7376923076923076,0.968021978021978
0.7391543108182317,0.9681493684788578
0.7358241758241758,0.9687912087912088
0.7367263933164779,0.9673518742442564
0.7364315535047242,0.9671500769061744
0.7368652451088151,0.9680149483402946
0.7383044146716451,0.9703492202943116
0.7386288727752143,0.9690177982860908
0.7343149104494011,0.9680254917042084
0.739292773995168,0.9685921370524928
0.7357786075115309,0.9678234131341972
0.7352747252747253,0.965934065934066
0.7362468430877347,0.9685955858131108
0.7379590939080712,0.9681108423136132
0.7342411596749396,0.9690314078629476
0.7369519832985386,0.9672563454565432
0.7360729590154929,0.9678057356334469
0.7397561243546084,0.9686916401186422
0.7379461834157056,0.9683690280065896
0.7354817421909371,0.9683238011438629
0.7380037333918963,0.96760733501702
0.7337141601669779,0.9678128089640776
0.7378651438611904,0.9692510432681748
0.7346153846153847,0.968131868131868
0.7353846153846154,0.9671428571428572
0.7384040448450209,0.9677951198065508
0.7343732835329012,0.9679226628583985
0.7376923076923076,0.9673626373626374
0.7351291918636613,0.965475536008796
0.7393214011200175,0.9689250027451412
0.7367784496976361,0.9692138537658054
0.7370675453047776,0.9681493684788578
0.7353264453726094,0.9679050340734228
0.7373859514125536,0.967901505990986
0.7370211831851607,0.9690484030293052
0.7363855950812472,0.9682696530522618
0.7381318681318682,0.9673626373626374
0.736205759507584,0.9675752912728072
0.7362637362637363,0.9665934065934066
0.7351197012958489,0.9684823193498792
0.7372294847852356,0.9680325167527188
0.7359402460456942,0.967816344463972
0.7388387948097647,0.9680008797009017
0.7400043936731108,0.968365553602812
0.7385764499121266,0.96847539543058
0.7347252747252747,0.9656043956043956
0.7373393386795561,0.9673733933867956
0.7378598110305428,0.968358602504944
0.7377499450670182,0.9667106130520764
0.7410625893741063,0.967880321196788
0.7367784496976361,0.9688840021990104
0.7340881609321754,0.9686709904364076
0.7350774980762889,0.966142684401451
0.7373393386795561,0.9683620784356806
0.7389108476064998,0.9687088274044796
0.7382129904385097,0.9685679745026926
0.7355526257965282,0.967699406723797
0.7346221441124781,0.9677065026362038
0.7377211295462037,0.9678057356334469
0.737674316459866,0.96771714066103
0.7369230769230769,0.9673626373626374
0.7377319134921506,0.968822044132177
0.737974961563804,0.9681528662420382
0.7393932732468674,0.9677951198065508
0.7372006152493957,0.9691276642496156
0.7341243682707097,0.9678092726873214
