loo_exact_dist,loo_nearmiss_dist
0.3669523181718304,0.8899143045484509
0.36613222051394684,0.8856797715791785
0.36356640281442393,0.8865435356200527
0.37126537785588754,0.8865333919156415
0.3672235656188173,0.8912947900637502
0.3693980667838313,0.8898286467486819
0.36860030762469786,0.8867281916062404
0.3677277716794731,0.8861690450054884
0.3637262440953532,0.8846534109634187
0.3658831282952548,0.8869727592267135
0.36339668241239154,0.8839942875974953
0.36962971102076697,0.8855070871332821
0.36629312239068335,0.8863985937156669
0.3681608437705999,0.8865084596791913
0.3663442514838426,0.8882171905913387
0.36592332198176425,0.8868504888498298
0.35760642393576064,0.8859311406885931
0.36995934512690914,0.8873750137347545
0.3744367512913507,0.8862512363996043
0.36387607119314436,0.8862887277521424
0.3607998242144584,0.8796967699406724
0.3698449356647971,0.8860662047729022
0.36677288210086806,0.8885836721239424
0.37153846153846154,0.8867032967032967
0.3662126537785589,0.8882908611599297
0.36682422776739587,0.889633945256678
0.361947680808969,0.8865684765882612
0.3637263528376595,0.8861636603607567
0.3642456872871113,0.8856169651686628
0.3578727612350291,0.8878145258762773
0.36637362637362636,0.8870329670329671
0.36164835164835163,0.8869230769230769
0.3673671471008912,0.8922873803498734
0.3727602506320765,0.8863361547762999
0.363167142543378,0.892378651438612
0.3655536028119508,0.8852152899824253
0.36675461741424803,0.883245382585752
0.37035816304108987,0.8851900681168974
0.36548390640448203,0.8871800505327914
0.3625589816745309,0.884450784593438
0.3669230769230769,0.8893406593406593
0.36682422776739587,0.8851269649334945
0.3675937122128174,0.8884247554138727
0.36818980667838314,0.8852152899824253
0.3667656439019026,0.8869460024194435
0.36844996155113696,0.8877293200043942
0.37190900098911966,0.8907572260687988
0.37221061888534684,0.8882049027151808
0.36809141852543675,0.8869355015932315
0.37478031634446396,0.8892794376098418
0.3631769746237504,0.887289904427112
0.3683747525841214,0.8886078733230701
0.371978021978022,0.8896703296703297
0.36822429906542054,0.8903793293018142
0.3685425368212794,0.8896460760606727
0.3645054945054945,0.8868131868131868
0.3695485004943425,0.8909150829396902
0.3731048121292024,0.8879367172050099
0.35650741350906096,0.8827018121911038
0.3690227547543146,0.889743871606024
0.3627871194636773,0.8884492801406748
0.3671205798374698,0.8905117504941796
0.369975840105425,0.8878761256314518
0.36698154657293497,0.8900483304042179
0.37032967032967035,0.8876923076923077
0.3667215815485997,0.8914881933003844
0.3691208791208791,0.8868131868131868
0.3690227547543146,0.8857865230295702
0.3651944627554384,0.8872775214238628
0.364036051879534,0.8886568476588261
0.37008565780803865,0.8909510213046343
0.3696989672599429,0.8893649747308284
0.3598505658718822,0.8879244039116581
0.3690972984845157,0.8905117504941796
0.36810893916099274,0.8858994069844058
0.3678021978021978,0.8824175824175824
0.36587240584166025,0.8886570769737564
0.3692544534858148,0.8884979107103584
0.36459477267735557,0.8855699538765649
0.3674321503131524,0.8872651356993737
0.3633666630040655,0.8882540380178002
0.36844996155113696,0.8906953751510491
0.3669412410763317,0.8891817682591983
0.36658600967883853,0.8857237131544214
0.3689469638739431,0.8882178543977161
0.35889267274524883,0.8864110732725475
0.3744783659125851,0.8865583132000878
0.36406593406593407,0.8853846153846154
0.3665934065934066,0.8850549450549451
0.3752473071004616,0.8849197625851836
0.3627375590464682,0.8867406349555091
0.3731868131868132,0.8853846153846154
0.3629466739967015,0.8847718526663002
0.378500054902822,0.8863511584495443
0.37009345794392523,0.8873007146783948
0.3669412410763317,0.8879736408566722
0.36183776654209715,0.887997362057595
0.37023194459711994,0.8868857865230295
0.3671386236417517,0.8890352321369773
0.36100131752305664,0.8904259991216513
0.3712087912087912,0.8873626373626373
0.36678390855133,0.8855792481864146
0.36725274725274726,0.8861538461538462
0.3666813090270152,0.8858994069844058
0.362298143469186,0.8908052290453696
0.36467486818980666,0.8878514938488576
0.3704640422256433,0.8894875742247635
0.37302284710017575,0.8907073813708261
0.3723637961335677,0.8870826010544816
0.3654945054945055,0.8828571428571429
0.36383609798967376,0.8901461056794463
0.36936936936936937,0.8879367172050099
0.3684904416611734,0.8870577894968139
0.37487625123748763,0.8895611043889561
0.3650357339197361,0.8905992303463441
0.36770363856216337,0.8835879960426514
0.3633065845883258,0.8840277014400352
0.3697682082829836,0.8871800505327914
0.36440491875274483,0.8927316644707949
0.368611935377514,0.8894383998241565
0.36058009228740934,0.8879367172050099
0.3666520210896309,0.8849956063268892
0.3710581254807164,0.8881441599824195
0.36828813000988253,0.8886570769737564
0.3691208791208791,0.8853846153846154
0.37303765506641784,0.8874739268854979
0.36755985064792446,0.8894135734680431
0.3706309078918444,0.8893163332600571
0.3704680290046144,0.8877169852779608
0.36343660733904637,0.8856295319709954
0.35821059573532643,0.8889865904594416
0.37517847336628224,0.8892915980230642
