corrected_dist,corrected_nearmiss
0.6976488683805757,0.9282575258185014
0.6919613441686799,0.9255435976279376
0.6932717678100264,0.9267810026385224
0.695628295254833,0.9258567662565904
0.6982853374367993,0.9288854693339196
0.6991432337434095,0.9281634446397188
0.6968798066359042,0.926829268292683
0.6929747530186608,0.9260153677277716
0.6919696803251675,0.9243106668131386
0.6943101933216169,0.9259666080843584
0.6924090959024497,0.9239811051301768
0.6959674761015273,0.9257224480826284
0.6946824873654142,0.9260602065480116
0.6934739617666447,0.9264996704021096
0.6963068806331062,0.9275664981314574
0.6953751510491047,0.9260683291222672
0.6912330876691233,0.925420745792542
0.6970662564553346,0.927040984507197
0.6968897681063854,0.9260358281129796
0.6932542298395957,0.926170072511536
0.6856734783564051,0.9218852999340804
0.6930605960629055,0.9262069723963487
0.6960773541369081,0.9271508625425776
0.6957142857142857,0.9265934065934066
0.6944200351493849,0.9277240773286468
0.697482686599978,0.9284379465757944
0.6943284238294131,0.9270169267970982
0.6923669159700836,0.9249890013198416
0.6943193055708164,0.9242940336226788
0.6935501593231513,0.9264915943302934
0.6961538461538461,0.9254945054945056
0.6912087912087912,0.9262637362637364
0.6990868082297282,0.929915282209264
0.6952841596130592,0.9263493459382214
0.6996485833516363,0.9287283110037338
0.6923330404217927,0.9251977152899824
0.6909630606860159,0.9239226033421284
0.6944627554383652,0.9245220830586685
0.6957047127320664,0.9279358453257168
0.6928563590475145,0.9246131899484252
0.6968131868131868,0.9278021978021976
0.694074969770254,0.925469935143454
0.6947345278663296,0.928657799274486
0.6926625659050967,0.9256370826010544
0.6930605960629055,0.9269767953370724
0.6958145666263869,0.9270570141711524
0.7010660512144191,0.928673480602264
0.6979223919973617,0.9267890513356052
0.6937699153939128,0.9269311064718164
0.6984841827768014,0.9283831282952548
0.6943864660002197,0.9266175985938702
0.6968330767539037,0.9275346382230042
0.6994505494505494,0.928021978021978
0.6985156679494228,0.9284222100054976
0.6994943943723896,0.9273466695977138
0.6946153846153846,0.926153846153846
0.6981214984071186,0.9288146764802812
0.6980883322346737,0.9282575258185014
0.6881933003844042,0.9235584843492588
0.6980323183467078,0.9284379465757944
0.6935927024947797,0.9280140674799428
0.6967933230836811,0.9290577641115748
0.6966835053810674,0.9273006808697564
0.6976054481546573,0.929371704745167
0.6963736263736263,0.9267032967032968
0.699945085118067,0.9289401427786932
0.6931868131868132,0.926153846153846
0.6948444542156755,0.925469935143454
0.6953416831465612,0.9260602065480116
0.6965267091668499,0.9276764123983292
0.6975620470019768,0.929606852624643
0.6981981981981982,0.9285871237090748
0.6932205252170092,0.9269311064718164
0.6995387656490226,0.9288381287063474
0.6933889743026576,0.925433779925324
0.6926373626373626,0.9232967032967032
0.6949599209399363,0.9273086636653124
0.6970530019793271,0.9272047503848692
0.6917417087634526,0.9265319569514606
0.6956378419953851,0.9259422041533898
0.6949785737831008,0.9267113504010548
0.7004284301878502,0.929363945951884
0.6977484898407469,0.928171334431631
