corrected_nz_dist,corrected_nz_nearmiss
0.6531370038412292,0.9169014084507042
0.6485414534288638,0.9136386898669396
0.6492890995260664,0.9148200333034456
0.6520793346129239,0.9142674344209852
0.655269560763222,0.9172749391727494
0.6556978233034572,0.9166453265044814
0.6523632637376713,0.9149481234789292
0.6484065019838731,0.9143734800972738
0.6476239272447804,0.9118739592673242
0.6511270491803278,0.9140625
0.6481362879467145,0.9120020494428077
0.6524468357673584,0.9137842685114015
0.6517285531370038,0.9140845070422535
0.6504928946357701,0.9148636538215338
0.6524913539131548,0.9157166645318304
0.6516005121638925,0.9142125480153649
0.6479631053036126,0.913656161926723
0.6526639344262295,0.9150870901639344
0.652285238765843,0.9140955063372167
0.6496350364963503,0.9142015622999103
0.6406350019203687,0.9094866214313149
0.6503201024327785,0.9143405889884764
0.6521516393442623,0.915343237704918
0.6517731404429651,0.9148636538215338
0.6493340163934426,0.9159836065573771
0.6541517170681702,0.9172219374679651
0.6533043032786885,0.9157274590163934
0.647744746283957,0.9127370579190159
0.6497695852534562,0.9119303635432667
0.6499359795134443,0.9151088348271447
0.6517674180327869,0.9131659836065574
0.6480983480599308,0.9142015622999103
0.6561619267230335,0.9186523187291826
0.6515558970418748,0.9145857344090152
0.65625,0.9170081967213115
0.6471190781049936,0.912932138284251
0.647382567515679,0.9116856521182645
0.6503138209299347,0.9120020494428077
0.6513056835637481,0.916410650281618
0.6488803582853487,0.9127319257837492
0.6531814108308795,0.9161438996287287
0.6500128106584678,0.9137842685114015
0.6511210762331838,0.9169762972453556
0.6475032010243278,0.9133162612035851
0.6486486486486487,0.9152043038298963
0.652073732718894,0.9156426011264721
0.6572270630445926,0.9173500768836494
0.6547527542915705,0.9149372277735076
0.6502753233448585,0.9148418491484185
0.654422116984513,0.9168053244592346
0.6505761843790013,0.9147247119078105
0.6522797131147541,0.9157274590163934
0.6551415033935203,0.9161224228454348
0.655137074045606,0.9168588265436843
0.6547039220712638,0.9156626506024096
0.6519457245263697,0.9147465437788018
0.6536491677336748,0.9174135723431498
0.654885388654117,0.9167627096939429
0.6448514344262295,0.9113729508196722
0.6545407967208915,0.9168694761111823
0.6501920614596671,0.91651728553137
0.6521572141851235,0.9178082191780822
0.6537328723268024,0.9156101933666283
0.6552298041223915,0.9179362437588017
0.6519344094286447,0.9149372277735076
0.6569380440348183,0.9174347158218126
0.64891846921797,0.9142454882887495
0.6516393442622951,0.9140625
0.6531814108308795,0.9142235309179363
0.652752880921895,0.9160051216389244
0.6540381415589402,0.9179572507359529
0.654033290653009,0.9174135723431498
0.6519902726225522,0.9153974145654679
0.6561659623511333,0.9171468818030478
0.6499872024571283,0.9134886101868441
0.6486105775387374,0.9111281854270713
0.6509603072983354,0.9158770806658131
0.6538165983606558,0.9155993852459017
0.6487455197132617,0.9148745519713262
0.6515558970418748,0.9140735049302088
0.6512104521583194,0.9148200333034456
0.6574429925698181,0.9178836792211119
0.654077582895916,0.9166559979516067
0.6482785101753488,0.914501471905798
0.6537328723268024,0.9150979638878217
0.6488666922781406,0.9145857344090152
0.6506209192164896,0.9152477275636922
0.6489429852658553,0.9145419602818706
0.650787552823665,0.9129209886028941
0.6522407170294494,0.9139564660691422
0.6483994878361076,0.9140845070422535
0.651338542333803,0.9132829511976431
0.6497117232543241,0.9113388853299167
0.6537772087067861,0.915236875800256
0.6501472659751568,0.9154821359969266
0.6524522986297862,0.915354078627225
0.6505823627287853,0.9151414309484193
0.6527137736815156,0.9147465437788018
0.653230966090851,0.9160588611644274
0.653309435411599,0.9166559979516067
0.6520681265206812,0.9145857344090152
0.6519400691509797,0.9140735049302088
0.6501088208936115,0.9126872359493022
0.6498463114754098,0.9139344262295082
0.6555299539170507,0.916794674859191
0.6501920614596671,0.9147247119078105
0.6549647661755285,0.9158231902626521
0.6565501344602381,0.916378537584838
0.6522797131147541,0.9154713114754098
0.6471190781049936,0.9106274007682459
0.6546246477068921,0.9155777606968998
0.6540284360189573,0.9157166645318304
0.6519846350832267,0.913572343149808
0.6571428571428571,0.9164638052530429
0.6527421834956433,0.9169656586365966
0.6471190781049936,0.9137003841229193
0.6492059426229508,0.9123975409836066
0.6520235655737705,0.9149590163934426
0.6582618712402406,0.9188531933956227
0.6530481557377049,0.9163678278688525
0.6518177163338453,0.9156426011264721
0.6469082063756241,0.9128152605300217
0.651249199231262,0.9139013452914798
0.652112676056338,0.9149807938540333
0.6510436675630683,0.9139454475605071
0.6505761843790013,0.9147247119078105
0.6537772087067861,0.9158770806658131
0.6549250672473421,0.915844754707314
0.6512938765052524,0.915065334358186
0.6478494623655914,0.9138504864311316
0.6498014602280006,0.915844754707314
0.6554417413572343,0.9161331626120358
0.655609631147541,0.9159836065573771
0.6522797131147541,0.9159836065573771
0.656985670419652,0.9172210849539406
0.6499679692504805,0.9139013452914798
0.6533538146441372,0.916026625704045
0.6501088208936115,0.9129432851107413
0.6554374279492763,0.9162290252337646
0.6488217213114754,0.9138063524590164
0.6506209192164896,0.9149916784022533
0.6508444216990789,0.9151740020470829
0.6491610093505829,0.9136672217240938
0.648738634908439,0.9130490459725957
0.655101779541672,0.9166559979516067
0.6512997823024715,0.9156101933666283
0.6536541661333675,0.9161653654166133
0.655657962109575,0.9148745519713262
0.651689708141321,0.9139784946236559
0.6543288934426229,0.9166239754098361
0.6548411885245902,0.9157274590163934
0.6550134460238187,0.9144576770393136
0.6487836107554418,0.9153649167733675
0.653565484573038,0.9142235309179363
0.6532598949660561,0.9155885743563469
0.6513444302176696,0.9124199743918053
0.65361484325016,0.9147792706333974
0.650236845474331,0.9125592113685828
0.6460494301447048,0.9124087591240876
0.6534767575873992,0.9162504802151363
0.6578778958146678,0.918981185204147
0.6541170444359072,0.9147137917787168
0.6520681265206812,0.9139454475605071
0.6491160645657187,0.9133999487573661
0.6483164767635387,0.9143515554986558
0.6564660691421255,0.9172855313700384
0.6477592829705506,0.9133162612035851
0.6484304932735426,0.9139013452914798
0.6512163892445583,0.9154929577464789
0.6508709016393442,0.9138063524590164
0.6514666325092865,0.9136672217240938
0.6514278396721731,0.9147137917787168
0.6521516393442623,0.9132940573770492
0.6474203046985021,0.9134553834336192
0.6483614951356886,0.9137224782386073
0.6511270491803278,0.9135502049180327
0.6522462562396006,0.9180852425444771
0.6519846350832267,0.9149807938540333
0.6551768323936443,0.9155561250640697
0.6492642354446577,0.9124760076775432
0.6469834763673626,0.9125144101447419
0.6520235655737705,0.915343237704918
0.6509989754098361,0.9149590163934426
0.6490329191750993,0.9159728448827975
0.6529592621060722,0.915065334358186
0.6499359795134443,0.9134443021766966
0.6508200922603793,0.9146591491542798
0.6546734955185659,0.9162612035851473
0.6473448496481126,0.9138835572616762
0.649763093866052,0.914329619669612
0.6494818984265064,0.9160803377254702
0.6457106274007682,0.9119078104993598
0.651812011781278,0.9145857344090152
0.6596235113330772,0.9195799718273787
0.6522351735621877,0.9149481234789292
0.6464413722478238,0.9120583717357911
0.6591112818542707,0.9182993981303624
0.6536441654925067,0.9145638529524786
0.6505638134290108,0.9149154279856484
0.6559098476117301,0.9175310539121526
0.6492957746478873,0.9149807938540333
0.6518177163338453,0.9141065028161802
0.6554374279492763,0.9157166645318304
0.6484825201690357,0.9138173901908054
0.6543336320573551,0.9170400716937652
0.6537772087067861,0.9163892445582587
0.6452356557377049,0.9106045081967213
0.6503326509723644,0.9144063459570113
0.6506656426011265,0.9146185355862775
0.6543241511851378,0.9149263292761051
0.6471944657955419,0.9139123750960799
0.6449878376648317,0.9128152605300217
0.6532650448143406,0.9143405889884764
0.6493789217569471,0.9121526443846844
0.6499359795134443,0.9140845070422535
0.6503648700550506,0.9147356292408142
0.6496798975672216,0.9124199743918053
0.6481434058898847,0.9138284250960307
0.648873527905786,0.9141065028161802
