,x,y,sector
255,113.0,46.0,5
256,113.0,44.0,5
257,114.0,43.0,5
258,114.0,41.0,5
259,113.0,40.0,5
260,113.0,25.0,5
261,112.0,24.0,5
262,112.0,14.0,5
263,111.0,13.0,5
264,111.0,6.0,5
265,110.0,5.0,5
266,110.0,3.0,5
267,109.0,2.0,5
268,109.0,1.0,5
269,108.63060686015828,1.0,5
270,108.63060686015831,150.04749340369392,5
271,108.63060686015831,150.04749340369392,6
272,218.0,150.0474934036939,6
273,218.0,150.0,6
274,219.0,149.0,6
275,219.0,140.0,6
276,218.0,139.0,6
277,218.0,138.0,6
278,217.0,138.0,6
279,214.0,135.0,6
280,215.0,134.0,6
281,215.0,131.0,6
282,219.0,127.0,6
283,219.0,117.0,6
284,218.0,116.0,6
285,218.0,113.0,6
286,214.0,109.0,6
287,214.0,99.0,6
288,212.0,97.0,6
289,212.0,96.0,6
290,209.0,96.0,6
291,207.0,94.0,6
292,207.0,90.0,6
293,206.0,89.0,6
294,206.0,88.0,6
295,205.0,87.0,6
296,205.0,86.0,6
297,204.0,85.0,6
298,204.0,84.0,6
299,202.0,82.0,6
300,202.0,79.0,6
301,201.0,78.0,6
302,201.0,77.0,6
303,199.0,75.0,6
304,199.0,74.0,6
305,198.0,74.0,6
306,195.0,71.0,6
307,195.0,70.0,6
308,193.0,70.0,6
309,191.0,68.0,6
310,191.0,67.67810026385219,6
311,108.63060686015831,150.04749340369392,6
312,108.63060686015831,150.04749340369392,7
313,186.0,227.41688654353555,7
314,186.0,227.0,7
315,188.0,225.0,7
316,188.0,224.0,7
317,191.0,221.0,7
318,191.0,220.0,7
319,194.0,217.0,7
320,194.0,216.0,7
321,195.0,215.0,7
322,195.0,214.0,7
323,196.0,213.0,7
324,197.0,213.0,7
325,197.0,212.0,7
326,198.0,211.0,7
327,198.0,210.0,7
328,200.0,208.0,7
329,200.0,207.0,7
330,201.0,206.0,7
331,201.0,204.0,7
332,202.0,203.0,7
333,202.0,202.0,7
334,203.0,201.0,7
335,203.0,200.0,7
336,204.0,199.0,7
337,204.0,198.0,7
338,205.0,197.0,7
339,205.0,195.0,7
340,206.0,194.0,7
341,206.0,192.0,7
342,207.0,191.0,7
343,207.0,188.0,7
344,208.0,187.0,7
345,208.0,177.0,7
346,209.0,176.0,7
347,209.0,175.0,7
348,210.0,174.0,7
349,210.0,173.0,7
350,211.0,172.0,7
351,211.0,171.0,7
352,213.0,169.0,7
353,213.0,168.0,7
354,214.0,167.0,7
355,214.0,166.0,7
356,215.0,165.0,7
357,215.0,162.0,7
358,216.0,161.0,7
359,216.0,156.0,7
360,217.0,155.0,7
361,217.0,153.0,7
362,218.0,152.0,7
363,218.0,150.0474934036939,7
364,108.63060686015831,150.04749340369392,7
365,108.63060686015831,150.04749340369392,8
366,108.63060686015835,276.0,8
367,109.0,276.0,8
368,110.0,275.0,8
369,115.0,275.0,8
370,116.0,274.0,8
371,118.0,274.0,8
372,119.0,273.0,8
373,131.0,273.0,8
374,132.0,272.0,8
375,133.0,272.0,8
376,134.0,271.0,8
377,137.0,271.0,8
378,139.0,269.0,8
379,140.0,269.0,8
380,142.0,267.0,8
381,143.0,267.0,8
382,144.0,266.0,8
383,146.0,266.0,8
384,148.0,264.0,8
385,149.0,264.0,8
386,153.0,260.0,8
387,154.0,260.0,8
388,155.0,259.0,8
389,156.0,259.0,8
390,157.0,258.0,8
391,158.0,258.0,8
392,161.0,255.0,8
393,161.0,254.0,8
394,165.0,250.0,8
395,165.0,249.0,8
396,166.0,248.0,8
397,166.0,247.0,8
398,167.0,246.0,8
399,168.0,246.0,8
400,169.0,245.0,8
401,169.0,244.0,8
402,175.0,238.0,8
403,176.0,238.0,8
404,179.0,235.0,8
405,180.0,235.0,8
406,180.0,234.0,8
407,186.0,228.0,8
408,186.0,227.41688654353555,8
409,108.63060686015831,150.04749340369392,8
